id,crashYear,crashSeverity,fatalCount,seriousInjuryCount,minorInjuryCount,crashLocation1,crashLocation2,region,holiday,light,speedLimit,advisorySpeed,latitude,longitude,bicycle,bus,carStationWagon,moped,motorcycle,otherVehicleType,pedestrian,schoolBus,suv,taxi,train,truck,vanOrUtility,vehicle
308045,2019,Minor Crash,0,0,1,002-0243,WAIOHO STM BR,Bay of Plenty Region,,Dark,100,,176.950389,-38.014815,0,0,1,0,0,0,,0,0,0,0,0,0,0
526660,2006,Minor Crash,0,0,1,KILMARNOCK ST,HARAKEKE ST,Canterbury Region,,Dark,50,,172.605412,-43.527013,0,0,1,0,0,0,,0,0,0,0,0,0,0
319143,2004,Serious Crash,0,2,0,SH 63,PARSONS ROAD,Marlborough Region,,Dark,100,,173.446091,-41.592557,0,0,0,0,0,0,,0,0,0,0,0,1,0
650285,2001,Minor Crash,0,0,1,MANUKAU ROAD,OWENS ROAD,Auckland Region,,Overcast,50,,174.776391,-36.878787,0,0,2,0,0,0,,0,0,1,,0,0,
52201,2009,Minor Crash,0,0,1,UPPER PLAIN ROAD,SKEETS ROAD,Wellington Region,Easter,Bright sun,100,,175.602100,-40.929029,1,0,0,0,0,0,,0,0,0,,0,1,
161973,2009,Minor Crash,0,0,1,CUMBERLAND ST OVERPASS,WHARF ST,Otago Region,,Bright sun,60,,170.504743,-45.880571,0,0,2,0,0,0,,0,0,0,,0,0,
610410,2009,Serious Crash,0,1,0,SH 2,WYATT ROAD,Waikato Region,,Overcast,100,,175.170668,-37.236939,0,0,0,0,0,0,,0,1,0,0,0,0,0
185701,2012,Minor Crash,0,0,1,MIRAMAR NORTH ROAD,PARK ROAD,Wellington Region,,Bright sun,50,,174.820161,-41.309236,0,0,0,0,0,0,1,0,1,0,,0,0,
317591,2008,Minor Crash,0,0,1,RUSSELL ROAD,PIGS HEAD ROAD,Northland Region,,Bright sun,100,,174.295634,-35.520835,0,0,0,0,0,0,,0,0,0,0,0,1,0
637910,2000,Minor Crash,0,0,2,OTEHA VALLEY ROAD,MILLS LANE,Auckland Region,,Twilight,100,,174.705169,-36.722146,0,0,2,0,0,0,,0,0,0,,0,0,
481579,2017,Minor Crash,0,0,1,SYMONDS ST,NEWTON ROAD,Auckland Region,,Overcast,50,,174.761092,-36.863358,0,0,1,0,1,0,,0,0,0,,0,0,
171426,2000,Minor Crash,0,0,2,SH 73 CURLETTS,PARKHOUSE ROAD,Canterbury Region,,Overcast,70,,172.570673,-43.543095,0,0,2,0,0,0,,0,0,0,,0,0,
646167,2016,Fatal Crash,1,0,1,GREAT SOUTH ROAD,NORTHCREST WAY,Auckland Region,,Bright sun,50,,174.894935,-37.020084,0,0,3,0,0,0,,0,0,0,,0,1,
579542,2007,Minor Crash,0,0,1,SH 3,WARRENGATE ROAD,Manawatu-Wanganui Region,,Bright sun,100,,175.164475,-39.991360,0,0,0,0,0,0,,0,1,0,0,0,0,0
562443,2014,Minor Crash,0,0,1,TI RAKAU DRIVE,HARRIS ROAD,Auckland Region,,Dark,50,,174.898471,-36.927219,0,0,1,0,0,0,1,0,0,0,,0,0,
153407,2002,Minor Crash,0,0,1,RUSSELL ROAD,SWALLOW DRIVE,Auckland Region,,Bright sun,50,,174.879950,-37.019556,0,0,2,0,0,0,,0,0,0,,0,0,
463480,2009,Minor Crash,0,0,1,STAFFORD ST,GALWAY ST,Bay of Plenty Region,,Dark,50,,176.707027,-38.082917,0,0,0,0,0,0,,0,0,0,0,0,1,0
197488,2018,Minor Crash,0,0,2,SH 1N,TAINUI BRIDGE ROAD,Waikato Region,Christmas New Year,Bright sun,70,,175.158643,-37.567652,0,0,2,0,1,0,,0,0,0,,0,0,
615547,2012,Minor Crash,0,0,1,SH 74,PHILPOTTS ROAD,Canterbury Region,,Bright sun,80,,172.639662,-43.488164,0,0,1,0,0,0,,0,0,0,,1,0,
211211,2015,Minor Crash,0,0,1,GREAT SOUTH ROAD,KERRS ROAD,Auckland Region,,Dark,50,,174.889294,-37.001562,0,0,2,0,0,0,,0,0,0,,0,0,
473818,2014,Minor Crash,0,0,1,BRENTWOOD AVENUE,FARNHAM AVENUE,Manawatu-Wanganui Region,,Bright sun,50,,175.587574,-40.357666,0,0,1,0,1,0,,0,0,0,,0,0,
632149,2007,Serious Crash,0,1,0,SH 2,HUTT ON NBD,Wellington Region,,Bright sun,100,,174.826478,-41.239772,0,0,1,0,0,0,,0,0,0,0,1,0,0
420042,2010,Minor Crash,0,0,1,LIVERPOOL ST,GREY ST,Manawatu-Wanganui Region,,Overcast,50,,175.037368,-39.930828,0,0,0,0,0,0,1,0,0,0,,0,1,
340040,2004,Minor Crash,0,0,1,PEACH HILL ROAD,DAVIES ROAD,Auckland Region,,Bright sun,70,,175.008928,-37.132860,0,0,0,0,0,1,,0,0,0,0,0,0,0
434627,2017,Serious Crash,0,1,0,SH 73,BIG WAINIHINIHI RIV BR,West Coast Region,,Bright sun,100,,171.334384,-42.761063,0,0,1,0,0,0,,0,0,0,,1,0,
109383,2015,Minor Crash,0,0,1,WILLIS ST,BOULCOTT ST,Wellington Region,,Bright sun,50,,174.774507,-41.289494,0,0,1,0,1,0,,0,0,0,,0,0,
263293,2010,Serious Crash,0,1,1,SH 2,TANNERS POINT ROAD,Bay of Plenty Region,,Bright sun,100,,175.929001,-37.490483,0,0,1,0,0,0,,0,0,0,,0,1,
285136,2001,Serious Crash,0,1,1,MASSEY ROAD,FERGUSON ST,Auckland Region,,Overcast,50,,174.828854,-36.963842,0,0,2,0,0,0,,0,0,0,,0,0,
156949,2007,Minor Crash,0,0,3,MARUA ROAD,CELTIC CRESCENT E,Auckland Region,,Overcast,50,,174.823494,-36.891647,0,0,1,0,0,0,,0,1,0,,0,0,
581466,2005,Minor Crash,0,0,1,MULGRAVE ST,FEATHERSTON ST,Wellington Region,,Dark,50,,174.780123,-41.278175,0,0,1,0,0,0,,0,1,0,,0,0,
459743,2003,Minor Crash,0,0,1,SH 3,OLD MOUNTAIN ROAD,Taranaki Region,,Bright sun,100,,174.244710,-39.236897,0,0,1,0,0,0,,0,0,0,,1,0,
637185,2013,Minor Crash,0,0,2,SH 18,BRIGHAM CK OBR,Auckland Region,,Bright sun,80,,174.639048,-36.799377,0,0,2,0,0,0,,0,0,0,,0,0,
258220,2009,Minor Crash,0,0,1,GREAT SOUTH ROAD,BAIRDS ROAD,Auckland Region,Queens Birthday,Overcast,50,,174.850230,-36.955543,0,0,2,0,0,0,,0,0,0,,0,0,
184008,2019,Serious Crash,0,1,1,01N-0901,JEFFERSONS LINE,Manawatu-Wanganui Region,,Overcast,100,,175.495758,-40.011649,0,1,0,0,0,0,,0,0,0,0,1,0,0
444488,2006,Minor Crash,0,0,1,SH 60,WHARF ROAD,Tasman Region,,Overcast,100,,173.009592,-41.137031,0,0,1,0,0,0,,0,0,0,0,0,0,0
26805,2004,Minor Crash,0,0,1,SH 56,TE WANAKA ROAD,Manawatu-Wanganui Region,,Bright sun,100,,175.565797,-40.376482,0,0,1,0,0,0,,0,0,0,0,0,0,0
626593,2001,Minor Crash,0,0,1,SH 1N,CENTENNIAL SBD,Wellington Region,,Dark,100,,174.813588,-41.243137,0,0,1,0,0,0,,0,0,0,0,0,0,0
135594,2003,Minor Crash,0,0,5,VINCENT ST,WELLINGTON ST,Auckland Region,,Dark,50,,174.925131,-36.902545,0,0,2,0,0,0,,0,0,0,0,0,0,0
181016,2011,Minor Crash,0,0,1,WEST COAST ROAD,RUA ROAD,Auckland Region,,Bright sun,50,,174.660624,-36.911837,0,0,1,1,0,0,,0,0,0,,0,0,
34537,2003,Minor Crash,0,0,1,SH 1N,NORTHCOTE OBR,Auckland Region,,Dark,100,,174.754426,-36.790583,0,0,3,0,0,0,,0,0,0,,0,0,
198697,2015,Minor Crash,0,0,1,SH 1S,RICHARD ST,Canterbury Region,,Bright sun,50,,171.277988,-44.187454,0,0,2,0,0,0,,0,0,0,0,0,0,0
198882,2000,Serious Crash,0,1,0,SH 2,OTAMARAHO BR,Manawatu-Wanganui Region,,Bright sun,100,,176.048362,-40.235668,0,0,0,0,0,0,,0,0,0,0,1,0,0
440099,2002,Minor Crash,0,0,1,MESSENGER TERRACE,PITCAIRN ST,Taranaki Region,,Dark,50,,173.951275,-39.113972,0,0,1,0,0,0,,0,0,0,0,0,1,0
419586,2012,Minor Crash,0,0,1,TWEED ST,NITH ST,Southland Region,,Bright sun,50,,168.350612,-46.417858,1,0,1,0,0,0,,0,0,0,,0,0,
307906,2007,Minor Crash,0,0,1,FITZGERALD AVENUE,HEREFORD ST,Canterbury Region,,Overcast,50,,172.650465,-43.532022,0,0,4,0,0,0,,0,0,0,,0,1,
410914,2003,Serious Crash,0,1,0,SH 6,OWEN BR,Tasman Region,,Dark,100,,172.438931,-41.684900,0,0,0,0,0,0,,0,0,0,,1,0,
526696,2011,Fatal Crash,1,0,0,SH 30,WHIRINAKI VALLEY ROAD,Waikato Region,,Overcast,100,,176.151757,-38.283698,0,0,0,0,0,0,,0,0,0,,1,0,
620389,2001,Fatal Crash,1,0,0,WAINUI ROAD,HARRISON ROAD,Bay of Plenty Region,,Bright sun,100,,177.109197,-38.036233,0,0,1,0,0,0,,0,0,0,,0,0,
